Recorrência técnica para apoio (Dados e Indicadores) 
Mon, 2 Sept 2024

4:06 - Unidentified Speaker Boa tarde, tudo bom?
41:25 - Elaine Gonzaga Ganança Ele, então, isso que está achando que não está uma boa prática para mim, na minha visão, tá? Acho que já deveria estar com o direcionado para uma outra pessoa do time, já que é um assunto tão relevante assim. A gente está com uma pessoa que já está em vias de sair do projeto, Você está me ouvindo? Estou ouvindo. Eu estava comentando ali, mas eu caí, eu entrei pelo 5G.

42:03 - Jaguaraci Batista Silva É isso, a preocupação então de o Alex colaborar não existe, né? Ele é parceiro, então tudo bem.

42:11 - Elaine Gonzaga Ganança Já agora, acho que você não escutou o que eu falei, foi o seguinte, o problema é que ele tá envolvido numa entrega relevante agora na calculadora, eu não sei se ele vai ter tempo de parar pra fazer documentação, porque ele tá ali fazendo uma entrega relevante agora, então vai ter que conversar bem com o Morgado ali pra poder separar esse tempo dele do KT, que é importante. Mas eu tinha entendido que ele não tava mais com atividade.

42:40 - Jaguaraci Batista Silva Tá, tá. Ele vai entrar nessa atividade até o final dessa atividade, então é quando ele vai sair? Olha, eu tava com data pra entregar hoje.

42:53 - Elaine Gonzaga Ganança Eu já entendi que eles estão atrasados e não vai mais ser hoje. Eu não tenho a nova data. Precisa ver ali com o mergado.

43:05 - Elaine Gonzaga Ganança Ele tá tão absorvido ali com o time que eu não tenho gestão. Eu aqui, a Juliana, a gente não tem gestão de datas de acordo que ele faz ali junto com o banco, tá?

43:19 - Elaine Gonzaga Ganança Vamos puxar um papo com o Morgado?

43:21 - Cassius Ribeiro Acho válido. E a gente alinha esses pontos com ele e fala, ó, a gente tá preocupado mais com o Katedo Alex aqui. E aí a gente fala da chegada dessas pessoas e tal e... E a gente pede uma força pra ele, pra deixar o Alex focado no KT e não em atividades, senão a gente resolve até o último dia dele e virou as costas, vai virar um caos. Se ele tá saindo, não deveria ter uma atividade a ser tão focada, importante.

43:53 - Jaguaraci Batista Silva Mas aí vocês precisam fazer essa fronteira junto com o Morgado e facilitar a vida do João também.

44:02 - Cassius Ribeiro Que a gente tá entendendo que talvez nem seja o João por hora, né? Poderia ser o Thales mesmo, alguém com mais experiência aqui, certo?

44:12 - Cassius Ribeiro Eu vou dar um cling nele aqui já.

44:15 - Jaguaraci Batista Silva O Rá é a parte mais complicada, porque tem muito cálculo ali na procedura.

44:26 - Jaguaraci Batista Silva eu acho mais complicada da arquitetura, pelo menos em relação a toda a parte de vendas e das jornadas ali para o crédito.

44:40 - Elaine Gonzaga Ganança Agora eu não consigo te responder isso se é tão complicado. Você quer saber se é complicado esse grau?

44:47 - Jaguaraci Batista Silva Não, eu queria saber do grau de complexidade que vocês têm hoje para jornada de crédito, Acho que a principal importância para a vila, para o atacado, é essa parte do crédito, essa integração com a jornada.

45:02 - Jaguaraci Batista Silva O que é mais importante, pelo que eu vi nesse desenho de arquitetura aqui, seria a calculadora, que é uma caixa preta. As outras dados, a gente já até viu pelo trabalho do Ramiro, a gente já consegue entender os dados, os mapeamentos, os jobs, a gente consegue entender as origens e a outra parte da integração, eu já consigo entender também as APIs que se usa ali para garantia, para verificar outras informações de limites, alçadas, etc.

45:29 - Jaguaraci Batista Silva Só para ter uma visão mesmo, só para validar, a única parte que eu vejo que é mais caixa preta mesmo é a calculadora do RAR. Porque todas as modificações de regras elas partem por releases e é difícil pegar essa informação de todas as releases, agrupar e ter uma documentação. É isso mesmo?

45:53 - Elaine Gonzaga Ganança É, entendo que a Caixa preta que a gente tem ali mesmo é da funcionalidade mesmo, do SQL Server, a Procedure.

46:01 - Jaguaraci Batista Silva De alguma forma a gente vai ter que documentar, porque ela vai ser migrada, toda essa parte de cálculo de RAM vai ser migrada para um API e vai ser colocado no Azure. Tudo que está ali no atacado vai migrar para o Azure, então a gente vai ter que documentar de alguma forma.

46:18 - Jaguaraci Batista Silva Eu vou participar desse KT, sim, junto com o Alex, porque a gente tem esse trabalho de mapeamento para o Azure, para entender também essa parte do código da calculadora e pensar numa estratégia ali para acelerar essa aquisição de conhecimento. Até porque eu acho que essa calculadora, ela poderia ser um modelo em machine learning e o João, por ele trabalhar com isso, ele poderia ajudar. Ele já trabalhou com machine learning, eu também conheço. E quando migrar para o Ezio, talvez a gente já pense num modelo melhor do que colocar uma história por segredo.

46:55 - Jaguaraci Batista Silva Beleza.

46:56 - Elaine Gonzaga Ganança Cássio, você puxa então com o Morgado essa agenda? Já pinguei ele aqui.

47:02 - Cassius Ribeiro Eu tô sugerindo 15 horas aqui. Vocês conseguem?

47:09 - Cassius Ribeiro Pra mim tá tranquilo, 15.

47:12 - Elaine Gonzaga Ganança No primeiro horário ali, tem que ver com o Alex, né?

47:17 - Jaguaraci Batista Silva 8 ou primeiro 9 horário, pra mim tá tranquilo a semana toda. Não, a gente tá falando da agenda com o Morgado primeiro.

47:26 - Elaine Gonzaga Ganança É, primeiro com o Morgado, tá?

47:27 - Cassius Ribeiro Só pra alinhar com ele aqui. Eu tô até confirmando com a Pri qual que é a data de saída do Alex, tá? É... Pra gente ir com essas informações. E aí eu acho que o outro papo...

47:39 - Jaguaraci Batista Silva O e-mail que a Priscila mandou pra todo mundo. Você tá fácil com ela aí? Com ele? A gente teve dia 13, né?

47:48 - Cassius Ribeiro Dia 13? É. Então, peraí. Seria de nove a treze essa agenda com o Alex.

47:55 - Jaguaraci Batista Silva Hoje é dia dois, então ele teria um trabalho para fazer até a chegada do João, que o João chegaria no dia nove e aí ficaria nesse catê até o dia treze. É mais confirmar com o Morgado essas datas, se ele consegue liberar mesmo e Se a gente viu que a arquitetura não é tão complicada, a gente já fez o mapeamento ali para o rameiro e a história do procedor é caixa preta, eu queria poder ter acesso a essa procedor e o mais rápido possível para poder analisar o tamanho dela. Provavelmente deve ser gigante, né? Não tem como você rousar e estruturar o objeto. Eu acho que poderia pingar ele direto em Jaguar.

48:40 - Cassius Ribeiro O Alex... É que ele está com a demanda, né?

48:42 - Jaguaraci Batista Silva Então eu não quero atrapalhar a demanda dele para não atrasar mais ainda.

48:47 - Cassius Ribeiro Deixa ele tranquilo com a demanda.

48:54 - Elaine Gonzaga Ganança Nessa agenda hoje às 15 horas, a gente fala com o Morgado e já sente o termômetro ali também. Acho que a partir de amanhã você já consegue puxar, entender, pegar um horário ali com o Alex, algumas coisas e já... Batendo o que ele tem de documentação, de repente ele tem alguma coisa que tá, se não achou no Confluence lá, mas ele tem alguma coisa pra te passar. Pode não estar publicado, né, sei lá, alguma coisa nessa linha, né.

49:24 - Cassius Ribeiro Então é isso aí.

49:28 - Jaguaraci Batista Silva Aí vocês me avisam ali como é que tá a situação com o Morgado e a partir de amanhã eu vejo com o Alex. Mas o que eu vi no Confluency são muitas regras. As regras do RA estão espalhadas por release, então teria que ter um trabalho ali de pegar todas as releases, desde essa arquitetura 2B que foi desenhada, para entender a partir dessa data todas as regras que foram implementadas. Ou pegar outra coisa, de pegar o código e usar a inteligência artificial do Flow para gerar um aparelho de processo, que eu acho que esse processo seria mais rápido. Também acho. E é bem legal a ideia mesmo, viu?

50:08 - Cassius Ribeiro Você só precisa saber quanto tempo o Alex tem, né?

50:13 - Jaguaraci Batista Silva Quanto tempo ele vai estar disponível ali até o KT pra gente poder preparar e ver se esse caminhão dá certo.

50:20 - Elaine Gonzaga Ganança É, então, hoje a gente vê com o Morgado e de repente uma hora por dia acho que é factível. É legal, então.

50:29 - Jaguaraci Batista Silva Falou, pessoal. Bom almoço pra vocês.

50:33 - Jaguaraci Batista Silva Eu estava resgatando o e-mail aqui.

50:36 - Cassius Ribeiro A Ju então é dia 6. Da Ju a gente está mais tranquilo. Mas a gente alinha com o Morgado hoje à tarde lá. E aí a gente de repente já coloca o Danilo que está chegando hoje na cola dela esses dias que ele vai ter. Período da tarde provavelmente. E aí é algo que é mais fácil do time direcionar depois né Elaine. Se não rolar. E aí do Alex, que é a nossa preocupação maior, o João chega dia 9. Mas a gente já quer começar o quanto antes o direcionamento, não em relação ao João ou outras pessoas aqui. E aí ele vai até o dia 13. Então o que a gente está falando é deixar ele o mais sem demanda possível para que ele foque no KT. A demanda dele vai ser organizar a documentação, o KT e contar.

51:29 - Jaguaraci Batista Silva Aqui, como é um caixa preto, ele vai precisar organizar sua documentação antes, né? Não sei o tamanho, mas que essa semana, seria o ideal que ele pudesse fazer essa semana e preparar toda essa documentação para o quarteiro da semana que vem. Beleza.

51:45 - Cassius Ribeiro Aí o Jaguar consegue dar um suporte na elaboração da documentação e a gente vê com o Morgado se ele concorda em tecnicamente direcionar primeiro o Tales ali para absorver junto com a Mauri e depois a gente repassa para o João e para quem for mais do time. A gente tendo a documentação pronta e com entendimento com mais pessoas, fica mais fácil a gente distribuir, né? Sim. Beleza. Fechou? Falou então, pessoal. Então, fechou.

52:14 - Jaguaraci Batista Silva Obrigada, gente. Até mais.

52:16 - Elaine Gonzaga Ganança Obrigado a vocês. Bom almoço. Tchau, time. Bom almoço.
